fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,color,fixed_acidity^2,fixed_acidity volatile_acidity,fixed_acidity citric_acid,fixed_acidity residual_sugar,fixed_acidity chlorides,fixed_acidity free_sulfur_dioxide,fixed_acidity total_sulfur_dioxide,fixed_acidity density,fixed_acidity pH,fixed_acidity sulphates,fixed_acidity alcohol,fixed_acidity quality,volatile_acidity^2
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,white,38.44,1.674,1.984,39.06,0.2976,291.4,985.8,6.155484,19.902,3.72,68.2,37.2,0.0729
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4,white,57.76,2.356,3.724,101.84,0.4712,380,1451.6,7.59164,24.472,4.028,68.4,30.4,0.0961
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,red,51.84,4.392,0.576,28.8,0.5904,187.2,777.6,7.174152,23.4,3.672,67.68,36,0.3721
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,white,60.84,1.17,1.872,60.06,0.3666,163.8,764.4,7.76178,22.932,2.418,74.88,46.8,0.0225
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6,white,28.09,1.908,1.431,33.39,0.1484,212,699.6,5.256858,17.861,2.12,61.48,31.8,0.1296
8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6,red,73.96,2.709,3.44,18.92,0.6794,25.8,51.6,8.558032,28.122,5.762,102.34,51.6,0.099225
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6,white,57.76,3.876,1.824,9.12,0.304,76,790.4,7.5392,23.18,2.204,82.08,45.6,0.2601
6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7,white,47.61,1.449,1.656,12.42,0.1449,117.3,552,6.830448,21.735,3.174,84.87,48.3,0.0441
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,red,59.29,5.313,3.773,13.86,0.8855,154,862.4,7.67536,24.717,5.467,71.61,38.5,0.4761
6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5,white,36,1.2,4.26,9.6,0.9,60,324,5.9562,18.72,2.82,58.8,30,0.04
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7,white,60.84,2.184,2.496,70.2,0.2808,265.2,897,7.76256,24.726,3.042,80.34,54.6,0.0784
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,white,49,1.33,1.61,39.9,0.861,189,728,6.9678,21.28,3.78,65.8,42,0.0361
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,white,53.29,1.898,2.409,130.305,0.3577,302.95,1423.5,7.3,22.338,3.212,66.43,51.1,0.0676
6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,5,white,36,2.46,1.38,6.6,0.396,132,888,5.95596,19.8,2.82,57.8,30,0.1681
6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6,white,44.89,0.7035,2.144,83.08,0.3417,227.8,710.2,6.6866,23.718,3.015,61.64,40.2,0.011025
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,red,94.09,2.8615,3.88,14.55,0.7081,135.8,203.7,9.656932,30.458,4.947,105.73,58.2,0.087025
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5,red,49,3.5,0.98,12.6,0.546,70,161,6.97452,24.71,4.27,72.8,35,0.25
9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6,white,84.64,1.38,6.256,14.72,0.4232,202.4,1196,9.15216,27.784,4.14,95.68,55.2,0.0225
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5,white,43.56,3.63,0.066,17.82,0.2244,369.6,805.2,6.53796,20.79,1.98,78.54,33,0.3025
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6,red,40.96,3.008,2.56,15.36,0.4544,51.2,121.6,6.37632,22.784,4.672,67.84,38.4,0.2209
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,white,47.61,0.7935,2.415,37.26,0.3312,248.4,745.2,6.85791,22.908,2.898,70.38,41.4,0.013225
8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7,white,72.25,1.955,2.38,94.35,0.2805,255,824.5,8.458095,25.755,3.315,89.25,59.5,0.0529
6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,white,37.21,1.098,2.196,12.2,0.2318,122,1521.95,6.05303,20.557,4.819,68.93,36.6,0.0324
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,red,62.41,5.214,0,11.06,0.7584,47.4,102.7,7.865951,27.097,4.582,75.05,39.5,0.4356
6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5,white,44.89,2.01,2.948,123.95,0.3819,435.5,1500.8,6.697052,20.837,3.551,60.97,33.5,0.09
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,red,38.44,3.596,0,9.92,0.403,49.6,111.6,6.17892,22.072,5.208,58.28,31,0.3364
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6,red,163.84,10.752,8.064,30.72,1.1264,166.4,448,12.79616,39.68,7.68,133.12,76.8,0.7056
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,red,79.21,3.382,3.56,19.58,0.6052,106.8,249.2,8.854254,29.103,6.675,112.14,62.3,0.1444
6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7,white,39.69,2.583,2.079,29.61,0.1449,176.4,693,6.2433,20.79,2.394,78.75,44.1,0.1681
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,white,72.25,2.125,2.295,39.95,0.2635,263.5,782,8.4337,25.585,2.805,102,51,0.0625
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,white,33.64,1.914,1.334,29,0.3074,168.2,614.8,5.768564,18.154,3.016,52.2,29,0.1089
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,white,32.49,0.855,1.596,21.09,0.2565,324.9,860.7,5.65041,18.354,1.539,63.84,34.2,0.0225
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,white,57.76,1.596,3.344,14.44,0.2736,76,904.4,7.53388,22.876,5.32,97.28,45.6,0.0441
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,white,51.84,2.088,2.88,54.72,0.1728,403.2,1274.4,7.14816,21.888,2.304,82.8,43.2,0.0841
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6,white,46.24,1.836,1.632,31.28,0.6664,244.8,863.6,6.760016,21.42,3.332,65.28,40.8,0.0729
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6,white,34.81,1.534,1.711,31.86,0.2714,200.6,684.4,5.854216,19.116,2.419,67.26,35.4,0.0676
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,red,50.41,4.26,0.071,16.33,0.5609,170.4,262.7,7.065494,24.14,4.331,77.39,42.6,0.36
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7,white,33.64,1.102,2.842,28.42,0.232,255.2,684.4,5.7623,19.372,2.204,55.1,40.6,0.0361
6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6,white,43.56,2.838,1.584,78.54,0.264,356.4,1049.4,6.575052,20.724,3.564,64.68,39.6,0.1849
5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6,white,34.81,3.835,1.357,29.5,0.2065,118,755.2,5.841944,20.414,2.832,75.52,35.4,0.4225
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,white,54.76,2.442,1.924,115.44,0.3626,495.8,1554,7.393118,22.644,5.032,70.3,37,0.1089
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6,white,43.56,1.716,2.508,42.9,1.122,448.8,1326.6,6.57096,21.054,2.508,62.04,39.6,0.0676
6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,white,36,1.68,2.1,11.4,0.222,96,720,5.9598,18.96,4.14,63.6,30,0.0784
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,white,43.56,0.99,2.244,33.66,0.363,224.4,825,6.56172,22.176,2.772,63.36,33,0.0225
5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,white,30.25,2.31,0.495,8.8,0.1045,99,374,5.4483,18.315,2.805,62.7,38.5,0.1764
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,white,56.25,2.4,3.675,12.75,0.2325,330,817.5,7.4295,23.025,3.45,93.75,45,0.1024
6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,6,white,43.56,0.561,2.178,9.24,0.2376,112.2,719.4,6.554196,21.582,4.026,62.7,39.6,0.007225
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,white,42.25,2.795,1.82,78,0.364,149.5,1131,6.4909,21.515,3.575,60.45,32.5,0.1849
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7,white,50.41,1.42,2.556,82.36,0.2982,319.5,880.4,7.0787,20.732,4.189,67.45,49.7,0.04
7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,red,57.76,3.04,2.204,14.44,0.5928,220.4,501.6,7.57796,26.22,4.484,72.2,45.6,0.16
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,white,49,2.52,0.98,81.2,0.301,245,1596,6.9839,21.91,3.57,62.3,35,0.1296
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6,white,44.89,2.01,3.35,81.07,0.3015,254.6,850.9,6.68258,20.368,3.551,59.63,40.2,0.09
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,red,67.24,3.198,4.018,18.86,0.8118,385.4,1090.6,8.18278,27.716,8.118,80.36,41,0.1521
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,white,104.04,4.488,8.976,63.24,0.4998,204,1264.8,10.16736,30.498,5.202,100.98,40.8,0.1936
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6,red,42.25,2.6,0.65,13,0.494,195,305.5,6.47101,21.84,3.12,61.1,39,0.16
7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,7,white,54.76,2.442,1.924,19.24,0.296,214.6,851,7.33562,22.718,3.848,87.32,51.8,0.1089
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6,white,43.56,1.386,1.98,65.34,0.2706,422.4,1148.4,6.567,20.262,3.3,66.66,39.6,0.0441
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6,white,33.64,1.682,0.87,6.38,0.1682,69.6,481.4,5.74084,19.14,2.32,66.12,34.8,0.0841
5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5,white,34.81,1.77,1.711,6.49,0.2124,135.7,330.4,5.84336,18.821,2.242,66.67,29.5,0.09
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,white,94.09,2.328,4.753,47.53,0.3104,29.1,174.6,9.638696,27.645,5.238,97,58.2,0.0576
6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,red,46.24,3.332,1.496,15.64,0.4828,88.4,163.2,6.761784,23.188,5.644,76.84,40.8,0.2401
6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,5,white,47.61,3.864,1.794,75.21,0.414,379.5,1331.7,6.87861,22.149,3.036,64.86,34.5,0.3136
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,red,98.01,6.237,2.376,23.76,0.7623,59.4,326.7,9.87426,30.591,5.643,93.06,49.5,0.3969
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,red,36,3.06,0,12.6,0.384,240,324,5.97,21.24,5.58,64.2,36,0.2601
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6,white,47.61,1.518,3.381,48.3,0.4347,345,1159.2,6.87033,24.426,3.45,71.07,41.4,0.0484
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,white,68.89,3.237,5.81,87.98,0.3735,273.9,1402.7,8.28008,25.647,4.731,78.02,41.5,0.1521
6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6,white,46.24,1.768,3.264,42.16,0.3332,374,1237.6,6.771576,21.828,3.06,63.92,40.8,0.0676
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,white,43.56,1.98,1.584,7.92,0.2244,112.2,798.6,6.55578,20.658,2.376,60.72,33,0.09
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,red,129.96,2.964,5.016,41.04,0.8094,68.4,216.6,11.38404,35.568,9.348,106.02,68.4,0.0676
6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7,white,40.96,0.96,2.56,9.6,0.2688,147.2,556.8,6.334208,19.904,2.944,78.08,44.8,0.0225
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5,white,47.61,2.967,1.932,64.86,0.3864,200.1,1262.7,6.871986,21.873,2.967,64.86,34.5,0.1849
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,white,84.64,2.576,4.232,29.44,0.5336,358.8,1223.6,9.1632,28.888,5.336,87.4,46,0.0784
6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,7,white,42.25,1.43,1.755,10.4,0.2535,234,754,6.44657,21.97,3.705,71.5,45.5,0.0484
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,red,144,4.56,6.72,25.2,1.116,72,288,11.991,37.68,8.52,130.8,72,0.1444
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5,white,43.56,1.584,1.452,81.18,0.3366,231,963.6,6.578616,20.46,4.422,62.04,33,0.0576
6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6,white,36,1.02,1.74,30,0.168,150,648,5.94456,18.84,2.04,73.8,36,0.0289
6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,7,white,44.89,3.149,1.943,31.825,0.2278,194.3,897.8,6.636752,22.043,3.082,87.1,46.9,0.2209
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,white,50.41,0.852,2.13,22.01,0.1278,106.5,262.7,7.029284,21.442,3.692,84.49,49.7,0.0144
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,white,25,1.65,0.8,7.5,0.245,50,485,4.9585,17.4,2.2,53.5,30,0.1089
9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5,white,82.81,2.457,2.912,10.01,0.2821,136.5,1374.1,9.04176,27.573,3.731,96.46,45.5,0.0729
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6,white,36,2.46,0.3,9,0.378,102,720,5.9592,19.26,3.36,55.2,36,0.1681
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5,white,51.84,3.312,4.68,74.88,0.36,547.2,1382.4,7.18272,22.752,3.024,62.64,36,0.2116
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6,red,51.84,4.464,0.072,16.56,0.468,57.6,331.2,7.151904,23.904,3.672,84.96,43.2,0.3844
6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6,red,42.25,4.095,2.145,11.7,0.3835,104,182,6.469515,21.84,4.16,65.65,39,0.3969
